run_id,model_id,model_variant,task,wan_task,modality,setting,protocol,case_id,prompt,prompt_hash,method,method_family,sampler_mode,sample_solver,actual_nfe,sample_steps,base_sample_steps,sample_shift,split_pairs,sample_guide_scale,base_seed,size,frame_num,reference_method,reference_nfe,low_baseline_method,output_path,schedule_json_path,stdout_log_path,stderr_log_path,runtime_json_path,status,error_message,git_commit,dirty_status
smoke_official_cats_uniform8,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,smoke_official_cats,Two anthropomorphic cats in comfy boxing gear and bright gloves fight intensely on a spotlighted stage.,f921ad1025e6eb01,uniform8,uniform,uniform,unipc,8,8,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/smoke_official_cats_uniform8.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/smoke_official_cats_uniform8.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/smoke_official_cats_uniform8.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/smoke_official_cats_uniform8.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/smoke_official_cats_uniform8.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
smoke_official_cats_uniform10,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,smoke_official_cats,Two anthropomorphic cats in comfy boxing gear and bright gloves fight intensely on a spotlighted stage.,f921ad1025e6eb01,uniform10,uniform,uniform,unipc,10,10,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/smoke_official_cats_uniform10.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/smoke_official_cats_uniform10.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/smoke_official_cats_uniform10.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/smoke_official_cats_uniform10.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/smoke_official_cats_uniform10.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
smoke_official_cats_bss10,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,smoke_official_cats,Two anthropomorphic cats in comfy boxing gear and bright gloves fight intensely on a spotlighted stage.,f921ad1025e6eb01,bss10,bss,bss,unipc,10,10,8,8,"0,-1",6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/smoke_official_cats_bss10.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/smoke_official_cats_bss10.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/smoke_official_cats_bss10.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/smoke_official_cats_bss10.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/smoke_official_cats_bss10.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
smoke_official_cats_reference_uniform50,Wan2.1,T2V-1.3B,t2v,t2v-1.3B,video,Video Generation,fixed_prompt_suite_official_script,smoke_official_cats,Two anthropomorphic cats in comfy boxing gear and bright gloves fight intensely on a spotlighted stage.,f921ad1025e6eb01,reference_uniform50,reference,uniform,unipc,50,50,,8,,6,0,832*480,81,reference_uniform50,50,uniform8,bss_experiments/wan21_13b_bss_bds_v1/outputs/videos/smoke_official_cats_reference_uniform50.mp4,bss_experiments/wan21_13b_bss_bds_v1/schedules/smoke_official_cats_reference_uniform50.json,bss_experiments/wan21_13b_bss_bds_v1/logs/stdout/smoke_official_cats_reference_uniform50.log,bss_experiments/wan21_13b_bss_bds_v1/logs/stderr/smoke_official_cats_reference_uniform50.log,bss_experiments/wan21_13b_bss_bds_v1/runtime/smoke_official_cats_reference_uniform50.json,pending,,9737cba9c1c3c4d04b33fcad41c111989865d315,dirty
